,year,week,n_calls
0,2021,13,9916.789254223993
1,2021,14,10373.039545103224
2,2021,15,10828.901859085996
3,2021,16,11280.696421834047
4,2021,17,11724.654089362664
5,2021,18,12156.94988021456
6,2021,19,12573.736507633728
7,2021,20,12971.17791173931
8,2021,21,13345.482791699462
9,2021,22,13692.938137905221
10,2021,23,14009.942764144365
11,2021,24,14293.040839775287
12,2021,25,14538.955421900844
13,2021,26,14744.621987542245
14,2021,27,14907.221965812892
15,2021,28,15024.21627009226
16,2021,29,15093.378830199763
17,2021,30,15112.830124568613
18,2021,31,15081.070712419678
19,2021,32,14997.014765935355
20,2021,33,14860.023602433455
21,2021,34,14669.939216541028
22,2021,35,14427.117812368251
23,2021,36,14132.463335682305
24,2021,37,13787.461006081203
25,2021,38,13394.2108491677
26,2021,39,12955.461228723118
27,2021,40,12474.64237888123
28,2021,41,11955.899936302148
29,2021,42,11404.128472346118
30,2021,43,10825.005025247476
31,2021,44,10225.022632288443
32,2021,45,9611.52386197302
33,2021,46,8992.734346200836
34,2021,47,8377.796312441054
35,2021,48,7776.802115906185
36,2021,49,7200.827771725955
37,2021,50,6661.966487121259
38,2021,51,6173.36219357787
39,2021,52,5749.243079020458
