Unnamed: 0,arrival_rate,profit,n_servers,n_served,n_reneged,n_servers_smoothed
0,5,2336771.681301745,75,35880,416,75
1,6,1947411.079545536,66,30018,174,67
2,7,1660334.212293466,63,25817,41,60
3,8,1465384.6547865667,53,22699,40,54
4,9,1292806.7432851868,51,20167,23,49
5,10,1179344.053030357,44,18313,65,45
6,11,1065160.3185262177,38,16482,130,41
7,12,971570.3185262176,38,15145,60,38
8,13,891903.4512741477,35,13907,64,35
9,14,822211.3627755275,37,12978,4,33
10,15,769207.6282713879,31,12021,32,31
11,16,720361.8052686282,27,11190,98,29
12,17,676842.8495179382,26,10535,95,27
13,18,639882.8495179383,26,10007,45,26
14,19,611994.9380165585,24,9542,80,25
15,20,578695.9822658686,23,9033,71,24
16,21,547265.9822658685,23,8584,66,23
17,22,523374.9380165585,24,8276,21,23
18,23,501969.1150137987,20,7837,110,22
19,24,477987.0265151786,22,7561,10,21
20,25,463539.1150137987,20,7288,67,21
21,26,437750.7610193183,28,7186,0,20
22,27,420544.9380165584,24,6807,0,20
23,28,413440.1592631088,19,6539,27,19
24,29,395310.1592631088,19,6280,29,19
25,30,377782.2477617289,17,5963,43,18
26,31,369872.2477617289,17,5850,51,18
27,32,358735.3805096591,14,5591,159,17
28,33,351875.3805096591,14,5493,215,17
29,34,337595.3805096591,14,5289,85,16
30,35,323154.336260349,15,5116,35,16
31,36,318114.336260349,15,5044,45,15
32,37,306935.3805096591,14,4851,52,15
33,38,298465.3805096591,14,4730,40,14
34,39,294804.336260349,15,4711,13,14
35,40,282183.292011039,16,4564,11,13
36,41,278305.38050965907,14,4442,18,13
37,42,269366.4247589692,13,4281,48,13
38,43,265936.4247589691,13,4232,40,13
39,44,254827.46900827924,12,4040,60,12
40,45,251376.4247589692,13,4024,21,12
41,46,244418.5132575893,11,3858,84,12
42,47,241667.4690082792,12,3852,32,12
43,48,232707.4690082792,12,3724,39,12
44,49,230607.4690082792,12,3694,30,12
45,50,220604.33626034905,15,3651,0,12
46,51,215039.5575068993,10,3405,88,12
47,52,214255.38050965907,14,3527,0,12
48,53,215466.4247589692,13,3511,9,12
49,54,206968.5132575893,11,3323,24,12
50,55,209908.5132575893,11,3365,27,12
51,56,198449.5575068993,10,3168,87,12
52,57,204749.5575068993,10,3258,48,11
53,58,190658.5132575893,11,3090,21,11
54,59,192247.4690082792,12,3146,3,10
